sentiment,review_body,product_category
-1,This top is really cute and i love the design. however  the first time i wore it  the waste band started unraveling.,Blouses
-1,If you like to wear lampshades this is the shirt for you. beyond unflattering. boxy and seriously looks like lace was stitched to the bottom of a lampshade,Blouses
-1,This shirt is purportedly made of silk  but it is extremely low quality. the material is coarse and scratchy. it's not even worth it at the extra 40% off sale price. returned.,Blouses
-1,On me  thsi was ginormous  looked like a mu mu. it is pretty  but there was just too much fabric  even in the smallest size. the quality seems nice  and it looks pretty  but overwhelming. i will say  i think it would work on tail lean people  i have pretty muscular shoulders  so the off shoulder look with that much fabric made me look 30 pounds heavier  no joke. fabric is soft though. give it a try  just not for me...    ref: 115 lbs  30dd  26.5 in waist.,Blouses
-1,I recently purchased this blouse on their 40% off sale in white. i was hoping for a crisp white structured blouse. i did read all the reviews and thought i would give it a try anyway. it is awful. there is no structure or shape but the quality is the reason i am returning. it feels like a napkin or thinner. not even worth the extra sale price. i will be returning.,Blouses
-1,The stone color was nice  but the material is heavy and doesn't breath. if you are partial to more natural fabrics i would go with a different item. upside would be that i imagine this shirt will last.,Blouses
-1,This top is absolutely beautiful. the fabric is great  the cut is nice  etc... however  the buttons are too big for the button loops  which do not have any stretch. it took ten minutes to open the shirt to try it on. once i had it on  i left it unbuttoned. i returned it. (if you can't live without it  you could put smaller buttons on it.) too pricey for a non-functioning top. too bad.,Blouses
-1,The tops looks fitted on the model because she pressed her arms against the clothes. to my surprise   the tops actually is very very very r o o m y below the chest area.  the appliques/laces on the front are made of low quality materials.,Blouses
-1,It's a beautiful top but not for bigger busts. ordered an xl and the top part would not button. i recommend for those with smaller busts.,Blouses
0,This top is so cute but after i added my tank top under neath it made me look frumpy. however  if you pair it with the right tank and bottoms it could be very cute. i think my problem is that i am not long wasted enough. i wish that it had worked because it is so unique.,Blouses
0,This top was really cute on someone else  but not on me... on me  ti was too big and the color washed me out. the fabric is nice and the pattern and colors are nice too  just not on porcelain skin... like many tops this season  it is a bit boxy  but looks nice with jeans  white shorts or half-tucked into a skirt. i would probably size down a bot...,Blouses
0,"My firned tried this on and her first comment was ""take it off  it is scratchy""  so i didn't bother trying it on. it is  however  beautiful  if you are not sensitive to scratchy material. fit was true to size.",Blouses
0,This top is cute. i purchased a 2 instead of my usual size 4 and it fits well. i only recommend buying this top on sale. it is not good quality! there are loose threads hanging out of the seams all over the place and it is see through. it is totally nuts that it costs $88.,Blouses
0,After the reviews about sizing  i ordered the size 16 (am normally size large). interestingly  the tag on the blouse says it's a 14. with all that said  the blouse is cute enough and sizing up gave me enough length (in spite of the higher sides) that i'm considering keeping it. although it's a bit big  it flows nicely and isn't oversized in that wide  crazy way. the sleeves are a bit too big but they're cuffed with a button and can be rolled. the fabric is somewhat crinkled in texture. i got the,Blouses
0,"The blouse is lovely - i loved the lace  color (though just as other reviewers mentioned its a darker blue closer to a teal color) and edging. i am very petite  for reference  5'2""  24 waist and 30e and normally wear a 00 or 00p. the 00 was still too wide for me around the waist/bottom and had too much of a swingy effect - it made me look like i was pregnant so i sadly returned. i wish this had more of a fitted look to it.",Blouses
0,Color is beautiful but looks like a maternity top on. i found i could tuck it in slacks and it looked fine. now for the cons:  it is supposed to be peacock design but i had only one peacock under my arm  which could be seen  i guess  if i waved. the rest were parts of the bird. i would love to have the one in the photos!  next  who thought cheap white buttons on the back was a good idea?  if i had gotten a nice patterned top  i would have replaced the buttons. blouses that i like never seem to b,Blouses
0,Pros: pretty  nicely made.    cons: the fabric is stiffer than i was expecting  and the blouse cuts in under the arms. (i don't mean that it is tight or digs in  but it cuts in; you can't tell in the angle of the photo.) the blouse is short as well  and  as i am curvy  it really stuck out all around at the waist. worth trying on if you have a straighter figure.,Blouses
0,Nice color and great work but runs little large.,Blouses
1,I could not resist this top. it is super cute  the material is nice and thick (you can get away with wearing no bra). shows off your bronzed or creamy skin to perfection. i can't wait to wear this :). i think the cut is very flattering for all figures. top might be a bit tight for very big busted ladies though.,Blouses
1,"I love this off the shoulder top. it is so flattering  and the  colors are gorgeous. i normally wear a small or medium in retailer tops  i am wearing an extra small in this one  and it fits great. i am only 5 1"" tall so the length hits me perfectly.",Blouses
1,Goes with absolutely everything. it's very comfortable and versatile. can be dressed up or dressed down. great thing to have in the closet when you don't know what to wear!,Blouses
1,This top is so pretty and the fabric is really soft...but  it does fit a little bit small in the bust. i am not extremely large busted but the buttons gap open just a little and it's tight across my back. otherwise  i love this top and the colors are really  really nice.,Blouses
1,This just arrived and it looks exactly like the photo. very well made  crisp and lovely. not see thru at all which is a plus. a bit overpriced but going to keep it.,Blouses
1,Very soft color and soft to touch. the material is light and airy and it feels great on. i wear a medium and bought the small. i would definitely buy this in another pattern if they made it as cute as the flamingos.,Blouses
